Part,Description,Quantity,Price (EUR),Link
3D-printed GoPro attachments,PLA,1,0.75,
Accessory cord 3mm 10m orange,Rope for the attachment needing a rope,1,5.99,https://www.decathlon.de/p/reepschnur-3-mm-10-m-orange/130405/c126m8174619
